timestamp_ms,apps1_pct,apps2_pct,brake_raw,brake_latched,pedal_pressed,mismatch_fault,brake_throttle_fault,active_fault,implausibility
10578,?,?,0,0,0,1,0,1,1
10617,?,?,0,0,0,1,0,1,1
10656,?,?,0,0,0,1,0,1,1
10694,?,?,0,0,0,1,0,1,1
10735,?,?,0,0,0,1,0,1,1
10771,?,?,0,0,0,1,0,1,1
10810,?,?,0,0,0,1,0,1,1
10848,?,?,0,0,0,1,0,1,1
10887,?,?,0,0,0,1,0,1,1
10926,?,?,0,0,0,1,0,1,1
10963,?,?,0,0,0,1,0,1,1
11002,?,?,0,0,0,1,0,1,1
11040,?,?,0,0,0,1,0,1,1
11079,?,?,0,0,0,1,0,1,1
11117,?,?,0,0,0,1,0,1,1
11156,?,?,0,0,0,1,0,1,1
11195,?,?,0,0,0,1,0,1,1
11233,?,?,0,0,0,1,0,1,1
11272,?,?,0,0,0,1,0,1,1
11310,?,?,0,0,0,1,0,1,1
11348,?,?,0,0,0,1,0,1,1
11386,?,?,0,0,0,1,0,1,1
11425,?,?,0,0,0,1,0,1,1
11464,?,?,0,0,0,1,0,1,1
11502,?,?,0,0,0,1,0,1,1
11543,?,?,0,0,0,1,0,1,1
11579,?,?,0,0,0,1,0,1,1
11618,?,?,0,0,0,1,0,1,1
11657,?,?,0,0,0,1,0,1,1
11695,?,?,0,0,0,1,0,1,1
11734,?,?,0,0,0,1,0,1,1
11771,?,?,0,0,0,1,0,1,1
11817,?,?,0,0,0,1,0,1,1
11850,?,?,0,0,0,1,0,1,1
11887,?,?,0,0,0,1,0,1,1
11926,?,?,0,0,0,1,0,1,1
11964,?,?,0,0,0,1,0,1,1
12003,?,?,0,0,0,1,0,1,1
12041,?,?,0,0,0,1,0,1,1
12080,?,?,0,0,0,1,0,1,1
12118,?,?,0,0,0,1,0,1,1
12156,?,?,0,0,0,1,0,1,1
12195,?,?,0,0,0,1,0,1,1
12233,?,?,0,0,0,1,0,1,1
12272,?,?,0,0,0,1,0,1,1
12313,?,?,0,0,0,1,0,1,1
12349,?,?,0,0,0,1,0,1,1
12388,?,?,0,0,0,1,0,1,1
12426,?,?,0,0,0,1,0,1,1
12465,?,?,0,0,0,1,0,1,1
12503,?,?,0,0,0,1,0,1,1
12541,?,?,0,0,0,1,0,1,1
12579,?,?,0,0,0,1,0,1,1
12618,?,?,0,0,0,1,0,1,1
12657,?,?,0,0,0,1,0,1,1
12695,?,?,0,0,0,1,0,1,1
12734,?,?,0,0,0,1,0,1,1
12772,?,?,0,0,0,1,0,1,1
12811,?,?,0,0,0,1,0,1,1
12849,?,?,0,0,0,1,0,1,1
12888,?,?,0,0,0,1,0,1,1
12926,?,?,0,0,0,1,0,1,1
12964,?,?,0,0,0,1,0,1,1
13003,?,?,0,0,0,1,0,1,1
13041,?,?,0,0,0,1,0,1,1
13080,?,?,0,0,0,1,0,1,1
13121,?,?,0,0,0,1,0,1,1
13157,?,?,0,0,0,1,0,1,1
13196,?,?,0,0,0,1,0,1,1
13234,?,?,0,0,0,1,0,1,1
13273,?,?,0,0,0,1,0,1,1
13310,?,?,0,0,0,1,0,1,1
13349,?,?,0,0,0,1,0,1,1
13388,?,?,0,0,0,1,0,1,1
13426,?,?,0,0,0,1,0,1,1
13465,?,?,0,0,0,1,0,1,1
13503,?,?,0,0,0,1,0,1,1
13542,?,?,0,0,0,1,0,1,1
13580,?,?,0,0,0,1,0,1,1
13619,?,?,0,0,0,1,0,1,1
13658,?,?,0,0,0,1,0,1,1
13696,?,?,0,0,0,1,0,1,1
13742,?,?,0,0,0,1,0,1,1
13774,?,?,0,0,0,1,0,1,1
13811,?,?,0,0,0,1,0,1,1
13849,?,?,0,0,0,1,0,1,1
13890,?,?,0,0,0,1,0,1,1
13927,?,?,0,0,0,1,0,1,1
13965,?,?,0,0,0,1,0,1,1
14004,?,?,0,0,0,1,0,1,1
14042,?,?,0,0,0,1,0,1,1
14081,?,?,0,0,0,1,0,1,1
14119,?,?,0,0,0,1,0,1,1
14157,?,?,0,0,0,1,0,1,1
14196,?,?,0,0,0,1,0,1,1
14234,?,?,0,0,0,1,0,1,1
14273,?,?,0,0,0,1,0,1,1
14311,?,?,0,0,0,1,0,1,1
14350,?,?,0,0,0,1,0,1,1
14389,?,?,0,0,0,1,0,1,1
14427,?,?,0,0,0,1,0,1,1
14466,?,?,0,0,0,1,0,1,1
14503,?,?,0,0,0,1,0,1,1
14542,?,?,0,0,0,1,0,1,1
14580,?,?,0,0,0,1,0,1,1
14619,?,?,0,0,0,1,0,1,1
14658,?,?,0,0,0,1,0,1,1
14698,?,?,0,0,0,1,0,1,1
14735,?,?,0,0,0,1,0,1,1
14773,?,?,0,0,0,1,0,1,1
14812,?,?,0,0,0,1,0,1,1
14851,?,?,0,0,0,1,0,1,1
14888,?,?,0,0,0,1,0,1,1
14927,?,?,0,0,0,1,0,1,1
14965,?,?,0,0,0,1,0,1,1
15004,?,?,0,0,0,1,0,1,1
15042,?,?,0,0,0,1,0,1,1
15081,?,?,0,0,0,1,0,1,1
15120,?,?,0,0,0,1,0,1,1
15158,?,?,0,0,0,1,0,1,1
15197,?,?,0,0,0,1,0,1,1
15235,?,?,0,0,0,1,0,1,1
15273,?,?,0,0,0,1,0,1,1
15311,?,?,0,0,0,1,0,1,1
15350,?,?,0,0,0,1,0,1,1
15389,?,?,0,0,0,1,0,1,1
15427,?,?,0,0,0,1,0,1,1
15468,?,?,0,0,0,1,0,1,1
15504,?,?,0,0,0,1,0,1,1
15543,?,?,0,0,0,1,0,1,1
15582,?,?,0,0,0,1,0,1,1
15620,?,?,0,0,0,1,0,1,1
15665,?,?,0,0,0,1,0,1,1
15698,?,?,0,0,0,1,0,1,1
15735,?,?,0,0,0,1,0,1,1
15773,?,?,0,0,0,1,0,1,1
15812,?,?,0,0,0,1,0,1,1
15851,?,?,0,0,0,1,0,1,1
15889,?,?,0,0,0,1,0,1,1
15928,?,?,0,0,0,1,0,1,1
15966,?,?,0,0,0,1,0,1,1
16005,?,?,0,0,0,1,0,1,1
16043,?,?,0,0,0,1,0,1,1
16081,?,?,0,0,0,1,0,1,1
16120,?,?,0,0,0,1,0,1,1
16158,?,?,0,0,0,1,0,1,1
16197,?,?,0,0,0,1,0,1,1
16235,?,?,0,0,0,1,0,1,1
16276,?,?,0,0,0,1,0,1,1
16312,?,?,0,0,0,1,0,1,1
16351,?,?,0,0,0,1,0,1,1
16390,?,?,0,0,0,1,0,1,1
16428,?,?,0,0,0,1,0,1,1
16466,?,?,0,0,0,1,0,1,1
16504,?,?,0,0,0,1,0,1,1
16543,?,?,0,0,0,1,0,1,1
16582,?,?,0,0,0,1,0,1,1
16620,?,?,0,0,0,1,0,1,1
16659,?,?,0,0,0,1,0,1,1
16697,?,?,0,0,0,1,0,1,1
16736,?,?,0,0,0,1,0,1,1
16774,?,?,0,0,0,1,0,1,1
16813,?,?,0,0,0,1,0,1,1
16851,?,?,0,0,0,1,0,1,1
16889,?,?,0,0,0,1,0,1,1
16928,?,?,0,0,0,1,0,1,1
16966,?,?,0,0,0,1,0,1,1
17005,?,?,0,0,0,1,0,1,1
17046,?,?,0,0,0,1,0,1,1
17082,?,?,0,0,0,1,0,1,1
17121,?,?,0,0,0,1,0,1,1
17159,?,?,0,0,0,1,0,1,1
17198,?,?,0,0,0,1,0,1,1
17235,?,?,0,0,0,1,0,1,1
17274,?,?,0,0,0,1,0,1,1
17313,?,?,0,0,0,1,0,1,1
17351,?,?,0,0,0,1,0,1,1
17390,?,?,0,0,0,1,0,1,1
17428,?,?,0,0,0,1,0,1,1
17467,?,?,0,0,0,1,0,1,1
17505,?,?,0,0,0,1,0,1,1
17544,?,?,0,0,0,1,0,1,1
17589,?,?,0,0,0,1,0,1,1
17623,?,?,0,0,0,1,0,1,1
17659,?,?,0,0,0,1,0,1,1
17697,?,?,0,0,0,1,0,1,1
17736,?,?,0,0,0,1,0,1,1
17774,?,?,0,0,0,1,0,1,1
17813,?,?,0,0,0,1,0,1,1
17854,?,?,0,0,0,1,0,1,1
17890,?,?,0,0,0,1,0,1,1
17929,?,?,0,0,0,1,0,1,1
17967,?,?,0,0,0,1,0,1,1
18006,?,?,0,0,0,1,0,1,1
18044,?,?,0,0,0,1,0,1,1
18082,?,?,0,0,0,1,0,1,1
18121,?,?,0,0,0,1,0,1,1
18159,?,?,0,0,0,1,0,1,1
18198,?,?,0,0,0,1,0,1,1
18236,?,?,0,0,0,1,0,1,1
18275,?,?,0,0,0,1,0,1,1
18314,?,?,0,0,0,1,0,1,1
18352,?,?,0,0,0,1,0,1,1
18391,?,?,0,0,0,1,0,1,1
18428,?,?,0,0,0,1,0,1,1
18467,?,?,0,0,0,1,0,1,1
18505,?,?,0,0,0,1,0,1,1
18544,?,?,0,0,0,1,0,1,1
18583,?,?,0,0,0,1,0,1,1
18623,?,?,0,0,0,1,0,1,1
18660,?,?,0,0,0,1,0,1,1
18698,?,?,0,0,0,1,0,1,1
18737,?,?,0,0,0,1,0,1,1
18775,?,?,0,0,0,1,0,1,1
18813,?,?,0,0,0,1,0,1,1
18852,?,?,0,0,0,1,0,1,1
18890,?,?,0,0,0,1,0,1,1
18929,?,?,0,0,0,1,0,1,1
18967,?,?,0,0,0,1,0,1,1
19006,?,?,0,0,0,1,0,1,1
19045,?,?,0,0,0,1,0,1,1
19083,?,?,0,0,0,1,0,1,1
19122,?,?,0,0,0,1,0,1,1
19160,?,?,0,0,0,1,0,1,1
19198,?,?,0,0,0,1,0,1,1
19236,?,?,0,0,0,1,0,1,1
19275,?,?,0,0,0,1,0,1,1
19314,?,?,0,0,0,1,0,1,1
19352,?,?,0,0,0,1,0,1,1
19391,?,?,0,0,0,1,0,1,1
19432,?,?,0,0,0,1,0,1,1
19468,?,?,0,0,0,1,0,1,1
19513,?,?,0,0,0,1,0,1,1
19547,?,?,0,0,0,1,0,1,1
19584,?,?,0,0,0,1,0,1,1
19621,?,?,0,0,0,1,0,1,1
19660,?,?,0,0,0,1,0,1,1
19698,?,?,0,0,0,1,0,1,1
19737,?,?,0,0,0,1,0,1,1
19776,?,?,0,0,0,1,0,1,1
19814,?,?,0,0,0,1,0,1,1
19853,?,?,0,0,0,1,0,1,1
19891,?,?,0,0,0,1,0,1,1
19930,?,?,0,0,0,1,0,1,1
19968,?,?,0,0,0,1,0,1,1
20006,?,?,0,0,0,1,0,1,1
20045,?,?,0,0,0,1,0,1,1
20083,?,?,0,0,0,1,0,1,1
